Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
10023,86,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,86Pedicab
10114,134,ACTIVE,MANMADE,NONE,2015,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,134Pedicab
10344,32,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,32Pedicab
10349,37,ACTIVE,SMASH CAB,BACK TO BACK,2021,TEAL,Pedal,N,JBL PEDICAB MANAGEMENT LLC,1627 N. TRIPP AVE.,CHICAGO,IL,60639,,,37Pedicab
10385,1,ACTIVE,VIP,VIP,2019,BLUE,Pedal,N,BIKE TAXI LLC,4235 N. KEDZIE AVE.,CHICAGO,IL,60618,,,1Pedicab
10416,28,ACTIVE,MAINSTREET,SMASHCAB,2010,RED,Pedal,N,PHILIP ANDREW SADLER,2001 N. ELSTON AVE.,CHICAGO,IL,60614,,,28Pedicab
10475,45,ACTIVE,MAINSTREET,BROADWAY,2013,BLUE/BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656,,,45Pedicab
10584,167,ACTIVE,MAINSTREET,BOARDWALK,2010,BLACK,Pedal,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642,,,167Pedicab
10609,147,ACTIVE,VIP,CLASSIC,2014,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,147Pedicab
10638,108,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,108Pedicab
10651,24,VIOLATION,MAINSTREET,6 SEATER,2019,RED,Pedal,N,BRIAN JAMES ANDROWSKI,3966 S. LANGLEY AVE.,CHICAGO,IL,60653,,,24Pedicab
10699,106,VIOLATION,VIP,5 SEATER,2017,RED,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,106Pedicab
10756,35,VIOLATION,CUSTOM,CSM STYLE,2018,BLACK,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608,,,35Pedicab
10881,118,ACTIVE,VIP,NONE,2011,BLACK/YELLOW,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616,,,118Pedicab
11082,169,ACTIVE,MAINSTREET,BOARDWALK,2008,WHITE,Pedal,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642,,,169Pedicab
